win,kills,deaths,assists,gold_earned,cs,wards_placed,wards_killed,damage_dealt
0,11,16,8,9234,101,0,3,32626
1,14,2,8,8764,138,9,3,37720
1,9,6,5,16181,125,18,5,40001
0,6,16,10,9637,178,0,5,9700
1,19,11,0,7104,232,1,8,48795
1,4,8,3,14447,71,15,4,12860
0,0,14,12,11801,89,11,7,12526
1,16,17,12,15674,150,7,4,43327
0,2,12,12,13575,160,17,1,44500
0,12,7,1,7607,178,1,5,7513
1,13,13,8,13385,114,12,8,12830
1,17,7,7,16999,298,5,2,19781
1,3,13,6,8719,240,5,0,12910
1,17,6,3,7581,283,8,0,20847
0,4,11,17,7565,231,15,2,10649
1,15,10,2,7763,219,10,9,14120
0,0,10,5,15990,198,6,4,6951
1,13,12,11,11328,128,9,2,15165
1,14,17,11,10991,258,9,8,19352
1,8,1,7,15531,71,19,7,14746
0,14,14,0,8406,215,17,2,48738
1,16,19,3,13923,148,19,8,33997
1,3,17,10,19451,286,8,5,46954
1,11,14,2,16064,257,14,6,29183
1,4,18,12,16312,57,3,3,13804
0,4,11,16,9780,239,7,3,32169
1,10,12,9,9177,224,8,1,5595
0,5,10,11,11476,66,12,4,34592
0,6,4,14,7604,66,8,7,45643
0,13,0,9,13181,295,3,6,25823
0,10,2,13,7382,139,16,6,10972
0,12,18,12,5531,190,15,5,20882
0,1,6,4,11079,194,14,2,5858
1,6,11,5,17508,215,2,4,10519
0,19,14,1,5634,130,19,0,28769
0,3,4,16,14961,289,4,6,30020
0,7,14,3,16996,127,4,8,47748
1,19,7,13,15562,222,19,0,42085
1,18,9,9,19162,55,14,1,24838
0,12,15,2,5002,212,17,2,49912
1,13,7,2,19005,159,14,2,17879
0,9,0,14,13397,63,1,7,38798
0,10,11,5,10951,288,12,6,47255
1,1,4,16,17327,121,3,5,29290
0,8,2,11,19394,238,9,9,15255
1,16,0,19,15813,192,12,9,6447
1,2,3,10,17931,103,9,3,48005
0,5,7,3,10626,76,8,8,34195
0,4,2,5,12739,62,7,0,7850
1,4,9,0,11003,290,2,1,33400
0,14,1,19,7890,208,15,3,16953
0,16,10,15,16385,294,13,2,45874
0,8,9,14,15858,297,8,0,28535
1,2,13,16,11239,212,10,4,15000
1,19,6,7,13026,109,2,6,14503
0,16,1,11,8306,55,4,1,20493
1,9,8,9,5897,246,9,4,9055
1,2,15,14,14277,263,12,5,43170
1,17,12,8,14471,107,3,6,37408
1,17,8,1,19896,98,12,0,47049
1,16,19,4,19683,200,11,6,39440
0,2,3,5,5670,266,4,3,33251
0,2,9,6,12291,211,9,7,9532
0,5,11,0,6505,75,8,3,9924
1,12,16,6,11460,96,19,5,17546
1,14,13,19,16767,54,6,8,31579
0,8,13,11,18006,267,1,4,11085
1,3,1,15,10167,69,6,3,17390
0,13,19,15,15147,183,7,7,18280
0,4,10,10,10255,247,6,8,29118
0,1,15,3,5249,108,13,3,9864
1,10,18,12,11457,241,18,2,47084
1,8,5,6,6892,291,4,7,38989
0,2,18,3,8439,195,17,4,40628
0,8,4,14,15045,181,19,1,31849
0,2,3,18,7854,66,11,9,32566
0,1,14,8,14695,298,16,8,15702
1,11,3,10,16577,63,12,2,46196
1,9,19,7,16763,255,1,1,20385
0,8,9,0,8792,62,12,0,14336
0,14,2,7,16618,184,6,7,36225
1,7,4,12,19820,177,9,2,41021
1,4,5,3,10330,93,5,6,8782
0,10,7,7,12871,168,2,0,28341
0,1,6,2,13235,192,2,0,29094
0,14,9,8,8612,68,17,8,28866
1,5,5,1,7618,112,10,7,24049
1,7,13,1,9678,284,19,2,47719
1,4,3,12,8163,288,4,5,35992
0,15,12,14,14480,285,18,2,19567
0,17,19,11,7942,212,18,3,49451
1,5,16,3,13411,130,14,0,8513
1,4,6,7,6925,212,15,4,18335
0,15,3,8,7972,196,8,0,49140
1,12,13,4,16705,197,3,0,43590
1,4,2,19,15640,149,14,9,19837
0,12,4,17,16663,212,11,6,17122
1,16,15,10,15966,209,2,5,39840
0,17,19,14,5990,171,13,1,36007
0,7,3,8,16138,225,16,1,46297
0,12,1,16,6812,93,18,6,32684
0,18,17,11,18145,153,5,0,31393
0,2,18,6,13995,201,3,1,27754
0,7,18,9,5489,110,6,7,25799
0,1,16,9,16748,174,18,5,43727
1,7,13,12,10876,194,16,1,14107
0,12,18,18,14685,120,15,6,10993
0,12,12,10,8645,156,14,3,35805
1,0,11,12,12081,99,7,1,33114
1,5,5,7,7891,114,18,5,42789
1,18,3,7,14897,148,7,8,47942
0,15,18,3,8516,81,17,8,21138
1,7,15,14,8340,213,15,7,49527
0,0,12,10,11410,190,19,2,14190
0,15,3,10,5053,247,18,2,31723
0,8,16,0,7575,107,9,1,17886
0,12,0,16,16783,177,16,4,21779
1,10,17,14,5615,191,12,3,33174
1,12,19,19,18370,214,12,6,34086
0,9,16,5,10944,161,6,3,22322
0,3,14,14,12404,256,9,8,47596
0,5,10,8,5954,288,1,1,40278
1,6,12,13,15625,117,3,5,23033
0,4,0,17,6629,89,5,6,25074
0,10,16,16,15973,236,17,3,8435
1,12,5,17,11859,257,5,5,40969
1,18,3,4,13841,269,16,6,33942
0,9,19,19,15539,193,13,3,34059
1,9,15,19,17682,239,10,7,37826
1,10,14,8,8278,181,18,8,35297
0,6,14,10,10455,222,1,0,48890
1,17,5,0,15832,139,2,6,26322
0,3,14,17,8801,77,10,8,40739
1,1,13,5,7561,145,5,9,14719
0,13,10,1,16441,286,13,4,19017
0,12,6,14,11539,243,18,1,13314
0,11,8,13,5370,80,15,9,33295
1,6,15,4,5857,52,6,5,14628
0,1,4,5,9886,295,7,6,47122
1,12,19,5,17945,185,18,1,16492
0,13,9,17,12485,73,19,1,41113
0,16,17,13,18680,64,15,9,20357
1,8,2,9,5383,220,6,9,38329
0,16,12,13,19397,208,8,0,25365
0,7,10,12,17069,250,12,3,44029
1,1,16,2,15744,280,0,6,6737
0,12,12,5,9334,94,7,8,14096
0,2,5,7,9290,243,3,2,24938
0,15,16,11,7725,57,2,6,17682
0,5,12,12,17226,120,2,6,32499
1,18,18,10,16485,297,12,6,49491
1,6,18,11,11204,157,7,1,49866
0,9,9,0,18440,164,6,5,46894
1,8,2,16,11111,152,0,1,46034
0,1,13,15,9251,283,15,5,5294
1,14,18,10,17180,174,5,9,37536
0,4,4,12,5922,106,6,2,29596
0,3,4,17,7915,257,11,1,37649
0,19,19,10,16142,276,8,5,16434
0,3,16,11,12957,79,10,1,43098
0,17,9,5,18897,251,9,4,9655
0,3,4,8,8046,279,0,1,22493
1,16,3,15,14166,195,17,2,8771
0,11,5,3,6230,163,3,2,13563
1,16,3,2,15627,246,4,5,22558
0,9,6,15,12647,166,8,5,38932
1,0,6,11,15006,270,16,9,47243
1,17,17,10,16126,216,2,2,31567
1,17,2,4,9933,109,15,2,37376
0,13,0,17,19295,147,4,0,26922
0,14,3,18,14555,220,15,6,17388
1,11,5,5,8940,175,2,7,34332
0,3,8,17,11483,222,19,1,28495
1,2,13,5,5203,200,14,3,13434
0,19,11,3,5160,246,2,9,25991
1,11,19,11,17679,143,19,6,32472
1,6,3,18,13960,183,13,7,45030
0,10,11,1,8748,233,15,0,31849
1,0,9,16,11718,171,16,3,6541
0,5,6,10,7581,287,19,5,7765
1,14,2,10,6093,157,17,2,48074
1,14,13,15,9500,53,17,4,42259
0,18,9,1,13799,142,13,9,34283
0,10,15,1,10710,200,17,8,40851
0,1,15,7,14732,55,14,2,39625
1,13,9,12,7875,81,14,4,5769
0,1,12,9,8191,155,5,7,22806
1,3,5,7,6837,195,14,5,29982
1,16,11,3,5689,64,17,3,7972
0,2,8,14,8759,217,3,7,23256
0,12,12,0,16141,171,7,2,43367
1,8,3,10,18528,145,14,2,23653
1,6,10,6,7103,250,2,3,43043
0,14,19,16,5365,278,14,8,26133
0,10,17,19,19010,251,12,4,44339
0,19,10,17,16767,261,8,7,30757
0,1,3,11,13092,55,1,5,42840
0,14,17,8,17742,161,7,2,47399
1,13,0,4,17391,169,19,7,49013
1,19,6,9,9172,172,16,8,37069
1,10,5,3,17517,240,12,7,19706
1,2,14,4,11033,116,0,3,43231
0,16,17,9,7378,155,1,5,32909
0,11,10,10,6205,188,14,0,45218
0,14,19,9,9988,92,11,3,16095
1,15,14,7,17031,194,13,7,25343
1,4,15,1,10669,145,1,0,31469
0,19,6,7,7735,181,17,2,6313
0,5,9,15,19362,240,6,0,12847
1,18,11,4,16539,245,5,8,14166
1,4,13,2,14867,130,13,1,14930
0,2,4,11,13490,90,7,8,8285
0,0,17,12,5956,260,1,3,40863
1,5,4,12,14306,182,16,1,21704
0,14,2,9,11623,209,4,3,23705
0,1,4,3,19908,263,13,9,5555
0,2,16,8,15697,297,19,5,26323
1,16,18,1,6474,247,2,6,10432
1,11,18,18,9460,84,4,2,6386
1,17,11,0,12002,71,15,2,49007
1,14,8,6,18986,242,17,9,15619
1,11,0,16,17638,261,16,7,11854
1,15,17,2,16918,199,10,4,47964
1,7,3,19,16663,161,16,3,12637
0,13,9,19,11396,296,15,6,26225
0,16,6,2,7828,60,1,6,31739
0,7,0,2,19192,254,3,8,15618
0,14,16,16,7850,283,6,8,41561
0,13,1,6,18299,52,1,4,12373
0,17,10,13,15698,186,5,7,40281
0,19,8,16,16962,109,16,9,25187
1,6,6,17,7964,125,6,0,7327
1,2,16,12,9594,136,4,8,37391
0,11,16,19,14141,63,4,7,46577
0,2,1,19,19282,274,19,5,23549
1,19,5,17,19334,67,15,2,44220
0,13,13,3,17795,162,18,2,12642
0,14,5,0,18615,282,8,7,19435
1,13,1,17,11644,122,4,4,38760
0,6,0,0,7850,72,7,9,43192
1,16,9,12,19933,251,8,6,9381
0,11,4,19,5165,132,4,4,36047
1,19,1,19,16678,174,9,7,24558
1,3,15,9,15701,224,1,9,35782
1,8,1,10,5919,118,8,9,9782
0,5,9,8,13305,96,10,3,30881
1,15,1,8,8504,165,3,1,45228
0,1,15,4,5991,264,1,2,34409
0,7,15,0,11047,79,5,7,24462
0,10,18,16,19542,74,13,6,7983
0,12,6,1,8839,205,0,1,36933
1,16,11,12,6258,275,17,5,7523
1,7,14,8,12609,286,6,8,14677
0,17,7,3,16618,297,0,3,15292
0,17,5,4,13706,161,0,8,20089
1,13,9,10,18519,288,0,1,9581
0,14,2,18,9804,74,3,1,16907
1,5,18,2,16388,123,3,8,10609
0,10,16,11,19473,255,17,6,49143
0,12,6,18,17626,283,10,6,27936
1,0,19,18,15776,298,0,0,47725
0,5,3,12,5067,287,9,5,38988
1,8,13,6,14788,107,8,6,34506
0,7,19,14,10660,143,3,5,18163
0,10,14,6,9478,168,5,5,17537
0,18,7,7,13210,176,15,1,27419
1,8,14,4,15922,218,1,5,47578
0,16,19,13,8521,74,17,3,14455
0,11,13,3,19409,127,9,8,14063
0,13,8,9,5572,148,16,0,5834
0,14,7,19,12082,165,12,7,37214
1,15,16,14,12832,97,17,4,32398
1,19,1,17,10395,275,12,0,39492
0,0,2,19,7258,59,16,3,7413
1,9,7,12,16094,148,4,0,14505
0,7,11,7,11039,252,10,5,42266
0,17,0,8,5650,60,6,1,7105
0,0,9,15,10741,134,9,4,7568
1,1,19,18,18281,198,16,6,47098
1,0,2,15,11838,263,14,1,42679
1,0,5,6,7587,222,17,5,38560
1,8,6,13,12876,184,18,5,19195
1,12,19,13,8262,296,1,4,20762
1,0,17,3,6338,258,3,4,46294
1,12,10,14,9996,241,2,2,20898
1,19,18,2,16826,175,6,9,26577
1,6,4,4,10780,113,17,9,6214
0,1,18,0,7827,51,9,1,25803
1,5,10,2,18873,125,6,6,28698
1,6,11,14,19211,170,7,0,37980
1,13,9,7,19069,91,5,5,6658
1,17,7,3,10232,259,0,5,17270
1,14,8,1,7217,103,3,2,42792
1,1,3,9,8539,124,13,1,27301
1,9,4,3,12845,65,16,1,10141
1,11,7,2,19232,290,19,8,43756
1,16,8,1,14229,292,17,4,18777
1,7,14,16,19026,67,10,6,43346
1,10,14,19,9383,276,13,4,34441
0,2,15,12,17170,294,8,6,33469
0,5,13,4,19524,236,14,3,8845
1,8,7,8,7961,139,11,7,49650
1,5,17,5,8226,193,9,9,28290
0,8,9,4,18878,55,18,9,35699
